"","X","obs","point","species","distance","round","impound","area","region","lat","long","month","day","year","night","odate","time","flush_walk","treat"
"40",40,"D","DD325S2","sora",2,3,"pool1","fgca","nc",39.7058529966,-93.3293040097,10,2,2013,4.2,275,NA,NA,NA
"41",41,"D","DD326S2","sora",2,3,"pool1","fgca","nc",39.7058489732,-93.3293070272,10,2,2013,4.2,275,NA,NA,NA
"42",42,"D","DD327S4","sora",4,3,"pool1","fgca","nc",39.7058469616,-93.3293180075,10,2,2013,4.2,275,NA,NA,NA
"43",43,"N","NS481S0","sora",0,3,"pool2","fgca","nc",39.70448901,-93.314588,10,2,2013,4.2,275,NA,NA,NA
"44",44,"N","NS479S0","sora",0,3,"pool2","fgca","nc",39.70371301,-93.312902,10,2,2013,4.2,275,NA,NA,NA
"45",45,"N","NS480S0","sora",0,3,"pool2","fgca","nc",39.70370899,-93.312899,10,2,2013,4.2,275,NA,NA,NA
"46",46,"N","NS475S0","sora",0,3,"pool2","fgca","nc",39.702919,-93.310066,10,2,2013,4.2,275,NA,NA,NA
"47",47,"N","NS476S0","sora",0,3,"pool2","fgca","nc",39.70282797,-93.309946,10,2,2013,4.2,275,NA,NA,NA
"48",48,"N","NS474S0","sora",0,3,"pool2","fgca","nc",39.70265798,-93.309016,10,2,2013,4.2,275,NA,NA,NA
"49",49,"N","NS473S0","sora",0,3,"pool2","fgca","nc",39.70239999,-93.308605,10,2,2013,4.2,275,NA,NA,NA
"50",50,"N","NS478S0","sora",0,3,"pool2","fgca","nc",39.70207997,-93.310687,10,2,2013,4.2,275,NA,NA,NA
"51",51,"N","NS477S0","sora",0,3,"pool2","fgca","nc",39.70110398,-93.309066,10,2,2013,4.2,275,NA,NA,NA
"52",52,"N","NS472S0","sora",0,3,"pool2","fgca","nc",39.69690104,-93.305498,10,2,2013,4.2,275,NA,NA,NA
"53",53,"N","NS471S0","sora",0,3,"pool2","fgca","nc",39.69678897,-93.305857,10,2,2013,4.2,275,NA,NA,NA
"54",54,"N","NS466S0","sora",0,3,"pool2","fgca","nc",39.695398,-93.31157,10,2,2013,4.2,275,NA,NA,NA
"55",55,"N","NS467S0","sora",0,3,"pool2","fgca","nc",39.69539699,-93.311572,10,2,2013,4.2,275,NA,NA,NA
"56",56,"N","NS468S0","sora",0,3,"pool2","fgca","nc",39.69514101,-93.313042,10,2,2013,4.2,275,NA,NA,NA
"57",57,"N","NS469S0","sora",0,3,"pool2","fgca","nc",39.695025,-93.313348,10,2,2013,4.2,275,NA,NA,NA
"58",58,"N","NS470S0","sora",0,3,"pool2","fgca","nc",39.69501603,-93.313836,10,2,2013,4.2,275,NA,NA,NA
"59",59,"M","MB438S4 _13","sora",4,3,"pool2w","fgca","nc",39.69417198,-93.312976,10,2,2013,4.2,275,NA,NA,NA
"60",60,"M","MB448S1 _13","sora",1,3,"pool2w","fgca","nc",39.69412697,-93.312788,10,2,2013,4.2,275,NA,NA,NA
"61",61,"M","MB449S1 _13","sora",1,3,"pool2w","fgca","nc",39.69412403,-93.312787,10,2,2013,4.2,275,NA,NA,NA
"62",62,"M","MB451S3 _13","sora",3,3,"pool2w","fgca","nc",39.69408003,-93.312407,10,2,2013,4.2,275,NA,NA,NA
"63",63,"M","MB452S3 _13","sora",3,3,"pool2w","fgca","nc",39.69407802,-93.312409,10,2,2013,4.2,275,NA,NA,NA
"64",64,"M","MB450S2 _13","sora",2,3,"pool2w","fgca","nc",39.69407299,-93.312493,10,2,2013,4.2,275,NA,NA,NA
"65",65,"M","MB447S2 _13","sora",2,3,"pool2w","fgca","nc",39.69405304,-93.312828,10,2,2013,4.2,275,NA,NA,NA
"66",66,"M","MB460S0 _13","sora",0,3,"pool2w","fgca","nc",39.69402404,-93.308044,10,2,2013,4.2,275,NA,NA,NA
"67",67,"M","MB459S3 _13","sora",3,3,"pool2w","fgca","nc",39.69402202,-93.308042,10,2,2013,4.2,275,NA,NA,NA
"68",68,"M","MB461S1 _13","sora",1,3,"pool2w","fgca","nc",39.69401498,-93.308088,10,2,2013,4.2,275,NA,NA,NA
"69",69,"M","MB453S5 _13","sora",5,3,"pool2w","fgca","nc",39.69399797,-93.312335,10,2,2013,4.2,275,NA,NA,NA
"70",70,"M","MB462S1 _13","sora",1,3,"pool2w","fgca","nc",39.69391096,-93.308155,10,2,2013,4.2,275,NA,NA,NA
"71",71,"M","MB453S1 _13","sora",1,3,"pool2w","fgca","nc",39.69389202,-93.31201,10,2,2013,4.2,275,NA,NA,NA
"72",72,"M","MB463S1 _13","sora",1,3,"pool2w","fgca","nc",39.69386101,-93.308183,10,2,2013,4.2,275,NA,NA,NA
"73",73,"M","MB454S2 _13","sora",2,3,"pool2w","fgca","nc",39.69372598,-93.311824,10,2,2013,4.2,275,NA,NA,NA
"74",74,"M","MB464S0 _13","sora",0,3,"pool2w","fgca","nc",39.69372396,-93.308325,10,2,2013,4.2,275,NA,NA,NA
"75",75,"M","MB455S3 _13","sora",3,3,"pool2w","fgca","nc",39.69367803,-93.311716,10,2,2013,4.2,275,NA,NA,NA
"76",76,"M","MB458S1 _13","sora",1,3,"pool2w","fgca","nc",39.693587,-93.311088,10,2,2013,4.2,275,NA,NA,NA
"77",77,"M","MB457S1 _13","sora",1,3,"pool2w","fgca","nc",39.69357703,-93.311155,10,2,2013,4.2,275,NA,NA,NA
"78",78,"M","MB456S0 _13","sora",0,3,"pool2w","fgca","nc",39.69357099,-93.311264,10,2,2013,4.2,275,NA,NA,NA
"79",79,"M","MB442S1 _13","sora",1,3,"pool2w","fgca","nc",39.69321703,-93.317709,10,2,2013,4.2,275,NA,NA,NA
"80",80,"M","MB444S3 _13","sora",3,3,"pool2w","fgca","nc",39.69321501,-93.317468,10,2,2013,4.2,275,NA,NA,NA
"81",81,"M","MB443S2 _13","sora",2,3,"pool2w","fgca","nc",39.69321401,-93.317712,10,2,2013,4.2,275,NA,NA,NA
"82",82,"M","MB445S1 _13","sora",1,3,"pool2w","fgca","nc",39.69319599,-93.31741,10,2,2013,4.2,275,NA,NA,NA
"83",83,"M","MB446S3 _13","sora",3,3,"pool2w","fgca","nc",39.69319196,-93.31738,10,2,2013,4.2,275,NA,NA,NA
"84",84,"M","MB439S0 _13","sora",0,3,"pool2w","fgca","nc",39.69301603,-93.319024,10,2,2013,4.2,275,NA,NA,NA
"85",85,"M","MB441S0 _13","sora",0,3,"pool2w","fgca","nc",39.69289198,-93.318405,10,2,2013,4.2,275,NA,NA,NA
"86",86,"M","MB440S1 _13","sora",1,3,"pool2w","fgca","nc",39.69288703,-93.318398,10,2,2013,4.2,275,NA,NA,NA
"87",87,"M","MB439S3 _13","sora",3,3,"pool2w","fgca","nc",39.14303896,-90.731309,10,2,2013,4.2,275,NA,NA,NA
"88",88,"M","MB440S4 _13","sora",4,3,"pool2w","fgca","nc",39.14303401,-90.73132,10,2,2013,4.2,275,NA,NA,NA
"89",89,"M","MB441S5 _13","sora",5,3,"pool2w","fgca","nc",39.14303301,-90.731316,10,2,2013,4.2,275,NA,NA,NA
"90",90,"M","MB443S0 _13","sora",0,3,"pool2w","fgca","nc",39.14288297,-90.731338,10,2,2013,4.2,275,NA,NA,NA
"91",91,"M","MB442S1 _13","sora",11,3,"pool2w","fgca","nc",39.14287702,-90.731348,10,2,2013,4.2,275,NA,NA,NA
"92",92,"M","MB445S3 _13","sora",3,3,"pool2w","fgca","nc",39.14286604,-90.731347,10,2,2013,4.2,275,NA,NA,NA
"93",93,"M","MB446S1 _13","sora",1,3,"pool2w","fgca","nc",39.14266798,-90.731369,10,2,2013,4.2,275,NA,NA,NA
"94",94,"M","MB448S2 _13","sora",2,3,"pool2w","fgca","nc",39.14255599,-90.731381,10,2,2013,4.2,275,NA,NA,NA
"95",95,"M","MB449S3 _13","sora",3,3,"pool2w","fgca","nc",39.14228098,-90.731351,10,2,2013,4.2,275,NA,NA,NA
"96",96,"M","MB450S1 _13","sora",1,3,"pool2w","fgca","nc",39.14121799,-90.731191,10,2,2013,4.2,275,NA,NA,NA
"97",97,"M","MB451S4 _13","sora",4,3,"pool2w","fgca","nc",39.140731,-90.731396,10,2,2013,4.2,275,NA,NA,NA
"98",98,"M","MB453S3 _13","sora",3,3,"pool2w","fgca","nc",39.14043998,-90.731479,10,2,2013,4.2,275,NA,NA,NA
"99",99,"M","MB454S1 _13","sora",1,3,"pool2w","fgca","nc",39.13835499,-90.731327,10,2,2013,4.2,275,NA,NA,NA
"100",100,"M","MB455S2 _13","sora",2,3,"pool2w","fgca","nc",39.13824602,-90.731324,10,2,2013,4.2,275,NA,NA,NA
"101",101,"JF","JF022S0","sora",0,4,"n mallard","scnwr","nw",40.11008997,-95.276697,10,22,2013,4.1,295,NA,NA,NA
"102",102,"A","AF407S0","sora",0,4,"n mallard","scnwr","nw",40.10254199,-95.277723,10,22,2013,4.1,295,NA,NA,NA
"103",103,"A","AF406S4","sora",4,4,"n mallard","scnwr","nw",40.10155703,-95.26999,10,22,2013,4.1,295,NA,NA,NA
"104",104,"N","NS463S0","sora",0,3,"pool1","fgca","nc",39.70843404,-93.328324,10,2,2013,4.1,275,NA,NA,NA
"105",105,"N","NS465S0","sora",0,3,"pool1","fgca","nc",39.70840998,-93.328191,10,2,2013,4.1,275,NA,NA,NA
"106",106,"N","NS464S0","sora",0,3,"pool1","fgca","nc",39.70840604,-93.3282,10,2,2013,4.1,275,NA,NA,NA
"107",107,"N","NS405S0","sora",0,3,"pool1","fgca","nc",39.70831501,-93.326278,10,2,2013,4.1,275,NA,NA,NA
"108",108,"N","NS461V0","vira",0,3,"pool1","fgca","nc",39.70817202,-93.32855,10,2,2013,4.1,275,NA,NA,NA
"109",109,"N","NS460V0","vira",0,3,"pool1","fgca","nc",39.70816699,-93.328545,10,2,2013,4.1,275,NA,NA,NA
"110",110,"N","NS406S0","sora",0,3,"pool1","fgca","nc",39.70816297,-93.326334,10,2,2013,4.1,275,NA,NA,NA
"111",111,"N","NS404S0","sora",0,3,"pool1","fgca","nc",39.708155,-93.325823,10,2,2013,4.1,275,NA,NA,NA
"112",112,"N","NS460S0","sora",0,3,"pool1","fgca","nc",39.70806699,-93.328573,10,2,2013,4.1,275,NA,NA,NA
"113",113,"N","NS459S0","sora",0,3,"pool1","fgca","nc",39.70802299,-93.328606,10,2,2013,4.1,275,NA,NA,NA
"114",114,"N","NS407S0","sora",0,3,"pool1","fgca","nc",39.70790497,-93.326534,10,2,2013,4.1,275,NA,NA,NA
"115",115,"N","NS432S0","sora",0,3,"pool1","fgca","nc",39.70767204,-93.32767,10,2,2013,4.1,275,NA,NA,NA
"116",116,"N","NS408S0","sora",0,3,"pool1","fgca","nc",39.707665,-93.326654,10,2,2013,4.1,275,NA,NA,NA
"117",117,"N","NS458S2","sora",2,3,"pool1","fgca","nc",39.70764304,-93.328853,10,2,2013,4.1,275,NA,NA,NA
"118",118,"N","NS409S0","sora",0,3,"pool1","fgca","nc",39.70758302,-93.326707,10,2,2013,4.1,275,NA,NA,NA
"119",119,"N","NS434S0","sora",0,3,"pool1","fgca","nc",39.70751697,-93.328135,10,2,2013,4.1,275,NA,NA,NA
"120",120,"N","NS457S0","sora",0,3,"pool1","fgca","nc",39.70751697,-93.328869,10,2,2013,4.1,275,NA,NA,NA
"121",121,"N","NS431S0","sora",0,3,"pool1","fgca","nc",39.70748403,-93.32719,10,2,2013,4.1,275,NA,NA,NA
"122",122,"N","NS410S0","sora",0,3,"pool1","fgca","nc",39.70742603,-93.326772,10,2,2013,4.1,275,NA,NA,NA
"123",123,"N","NS411S0","sora",0,3,"pool1","fgca","nc",39.70742402,-93.326769,10,2,2013,4.1,275,NA,NA,NA
"124",124,"N","NS455S0","sora",0,3,"pool1","fgca","nc",39.70718203,-93.328915,10,2,2013,4.1,275,NA,NA,NA
"125",125,"N","NS456S0","sora",0,3,"pool1","fgca","nc",39.70718203,-93.328921,10,2,2013,4.1,275,NA,NA,NA
"126",126,"N","NS412S0","sora",0,3,"pool1","fgca","nc",39.70716803,-93.326782,10,2,2013,4.1,275,NA,NA,NA
"127",127,"N","NS435S0","sora",0,3,"pool1","fgca","nc",39.70716803,-93.328391,10,2,2013,4.1,275,NA,NA,NA
"128",128,"N","NS413S0","sora",0,3,"pool1","fgca","nc",39.70714004,-93.326777,10,2,2013,4.1,275,NA,NA,NA
"129",129,"N","NS454S0","sora",0,3,"pool1","fgca","nc",39.70711104,-93.328922,10,2,2013,4.1,275,NA,NA,NA
"130",130,"N","NS453S0","sora",0,3,"pool1","fgca","nc",39.70698598,-93.328952,10,2,2013,4.1,275,NA,NA,NA
"131",131,"N","NS430S0","sora",0,3,"pool1","fgca","nc",39.70673896,-93.327495,10,2,2013,4.1,275,NA,NA,NA
"132",132,"N","NS452S4","sora",4,3,"pool1","fgca","nc",39.70657602,-93.329205,10,2,2013,4.1,275,NA,NA,NA
"133",133,"N","NS451S0","sora",0,3,"pool1","fgca","nc",39.70650201,-93.329211,10,2,2013,4.1,275,NA,NA,NA
"134",134,"N","NS436S2","sora",2,3,"pool1","fgca","nc",39.70645197,-93.328795,10,2,2013,4.1,275,NA,NA,NA
"135",135,"N","NS429S0","sora",0,3,"pool1","fgca","nc",39.70627,-93.327936,10,2,2013,4.1,275,NA,NA,NA
"136",136,"N","NS414S0","sora",0,3,"pool1","fgca","nc",39.70623999,-93.327425,10,2,2013,4.1,275,NA,NA,NA
"137",137,"N","NS437S0","sora",0,3,"pool1","fgca","nc",39.70614804,-93.328736,10,2,2013,4.1,275,NA,NA,NA
"138",138,"N","NS450S0","sora",0,3,"pool1","fgca","nc",39.706142,-93.329443,10,2,2013,4.1,275,NA,NA,NA
"139",139,"N","NS449S0","sora",0,3,"pool1","fgca","nc",39.70609699,-93.329493,10,2,2013,4.1,275,NA,NA,NA
"140",140,"N","NS448S0","sora",0,3,"pool1","fgca","nc",39.70607604,-93.32951,10,2,2013,4.1,275,NA,NA,NA
"141",141,"N","NS443S0","sora",0,3,"pool1","fgca","nc",39.70602198,-93.329537,10,2,2013,4.1,275,NA,NA,NA
"142",142,"N","NS445S1","sora",1,3,"pool1","fgca","nc",39.70602198,-93.329534,10,2,2013,4.1,275,NA,NA,NA
"143",143,"N","NS446S0","sora",0,3,"pool1","fgca","nc",39.70601703,-93.329529,10,2,2013,4.1,275,NA,NA,NA
"144",144,"N","NS447S0","sora",0,3,"pool1","fgca","nc",39.70601703,-93.32953,10,2,2013,4.1,275,NA,NA,NA
"145",145,"N","NS439S0","sora",0,3,"pool1","fgca","nc",39.70594101,-93.328975,10,2,2013,4.1,275,NA,NA,NA
"146",146,"N","NS415S0","sora",0,3,"pool1","fgca","nc",39.70593204,-93.327693,10,2,2013,4.1,275,NA,NA,NA
"147",147,"N","NS440S0","sora",0,3,"pool1","fgca","nc",39.70586599,-93.329093,10,2,2013,4.1,275,NA,NA,NA
"148",148,"N","NS416S0","sora",0,3,"pool1","fgca","nc",39.70584897,-93.32776,10,2,2013,4.1,275,NA,NA,NA
"149",149,"N","NS428S0","sora",0,3,"pool1","fgca","nc",39.70579198,-93.328498,10,2,2013,4.1,275,NA,NA,NA
"150",150,"N","NS441S0","sora",0,3,"pool1","fgca","nc",39.70579097,-93.329182,10,2,2013,4.1,275,NA,NA,NA
"151",151,"N","NS442S0","sora",0,3,"pool1","fgca","nc",39.70578996,-93.329191,10,2,2013,4.1,275,NA,NA,NA
"152",152,"N","NS427S0","sora",0,3,"pool1","fgca","nc",39.70577496,-93.32852,10,2,2013,4.1,275,NA,NA,NA
"153",153,"N","NS426S0","sora",0,3,"pool1","fgca","nc",39.70571402,-93.32868,10,2,2013,4.1,275,NA,NA,NA
"154",154,"N","NS425S1","sora",1,3,"pool1","fgca","nc",39.70569097,-93.328758,10,2,2013,4.1,275,NA,NA,NA
"155",155,"N","NS424S0","sora",0,3,"pool1","fgca","nc",39.70568402,-93.328763,10,2,2013,4.1,275,NA,NA,NA
"156",156,"N","NS417S0","sora",0,3,"pool1","fgca","nc",39.70541898,-93.328303,10,2,2013,4.1,275,NA,NA,NA
"157",157,"N","NS418S0","sora",0,3,"pool1","fgca","nc",39.70541596,-93.328308,10,2,2013,4.1,275,NA,NA,NA
"158",158,"N","NS420S1","sora",1,3,"pool1","fgca","nc",39.70537699,-93.328394,10,2,2013,4.1,275,NA,NA,NA
"159",159,"N","NS419S0","sora",0,3,"pool1","fgca","nc",39.70537598,-93.328394,10,2,2013,4.1,275,NA,NA,NA
"160",160,"N","NS421S1","sora",1,3,"pool1","fgca","nc",39.70524296,-93.328732,10,2,2013,4.1,275,NA,NA,NA
"161",161,"N","NS422S1","sora",1,3,"pool1","fgca","nc",39.70523299,-93.328744,10,2,2013,4.1,275,NA,NA,NA
"162",162,"N","NS423S0","sora",0,3,"pool1","fgca","nc",39.70523198,-93.328744,10,2,2013,4.1,275,NA,NA,NA
"163",163,"M","MB427S0 _13","sora",1,3,"pool2","fgca","nc",39.70010703,-93.309088,10,2,2013,4.1,275,NA,NA,NA
"164",164,"M","MB426S2 _13","sora",2,3,"pool2","fgca","nc",39.69956498,-93.307962,10,2,2013,4.1,275,NA,NA,NA
"165",165,"M","MB425V1 _13","vira",1,3,"pool2","fgca","nc",39.69895201,-93.309159,10,2,2013,4.1,275,NA,NA,NA
"166",166,"M","MB424S2 _13","sora",2,3,"pool2","fgca","nc",39.69886299,-93.308878,10,2,2013,4.1,275,NA,NA,NA
"167",167,"M","MB422S3 _13","sora",3,3,"pool2","fgca","nc",39.69512098,-93.315635,10,2,2013,4.1,275,NA,NA,NA
"168",168,"M","MB423S1 _13","sora",1,3,"pool2","fgca","nc",39.69508301,-93.315739,10,2,2013,4.1,275,NA,NA,NA
"169",169,"M","MB428S1 _13","sora",1,3,"pool2","fgca","nc",39.69504001,-93.313952,10,2,2013,4.1,275,NA,NA,NA
"170",170,"M","MB421S3 _13","sora",3,3,"pool2","fgca","nc",39.69499097,-93.315005,10,2,2013,4.1,275,NA,NA,NA
"171",171,"M","MB420S3 _13","sora",3,3,"pool2","fgca","nc",39.69493004,-93.314648,10,2,2013,4.1,275,NA,NA,NA
"172",172,"M","MB419S3 _13","sora",3,3,"pool2","fgca","nc",39.69492702,-93.314653,10,2,2013,4.1,275,NA,NA,NA
"173",173,"M","MB418V1 _13","vira",1,3,"pool2","fgca","nc",39.69461102,-93.313602,10,2,2013,4.1,275,NA,NA,NA
"174",174,"M","MB430S3 _13","sora",3,3,"pool2","fgca","nc",39.69429997,-93.312652,10,2,2013,4.1,275,NA,NA,NA
"175",175,"M","MB429S0 _13","sora",0,3,"pool2","fgca","nc",39.69426502,-93.312079,10,2,2013,4.1,275,NA,NA,NA
"176",176,"M","MB432S3 _13","sora",3,3,"pool2","fgca","nc",39.69419301,-93.313158,10,2,2013,4.1,275,NA,NA,NA
"177",177,"M","MB431S2 _13","sora",2,3,"pool2","fgca","nc",39.69418396,-93.313155,10,2,2013,4.1,275,NA,NA,NA
"178",178,"M","MB437S2 _13","sora",2,3,"pool2","fgca","nc",39.69416804,-93.312977,10,2,2013,4.1,275,NA,NA,NA
"179",179,"M","MB434S5 _13","sora",5,3,"pool2","fgca","nc",39.69415496,-93.313162,10,2,2013,4.1,275,NA,NA,NA
"180",180,"M","MB436S6 _13","sora",6,3,"pool2","fgca","nc",39.69412998,-93.313042,10,2,2013,4.1,275,NA,NA,NA
"181",181,"M","MB427S0 _13","sora",0,3,"pool2","fgca","nc",39.14575897,-90.731241,10,2,2013,4.1,275,NA,NA,NA
"182",182,"M","MB425S2 _13","sora",2,3,"pool2","fgca","nc",39.14575696,-90.73125,10,2,2013,4.1,275,NA,NA,NA
"183",183,"M","MB426S1 _13","sora",1,3,"pool2","fgca","nc",39.14575503,-90.731249,10,2,2013,4.1,275,NA,NA,NA
"184",184,"M","MB428S3 _13","sora",3,3,"pool2","fgca","nc",39.14575101,-90.731249,10,2,2013,4.1,275,NA,NA,NA
"185",185,"M","MB429S1 _13","sora",1,3,"pool2","fgca","nc",39.14536603,-90.731506,10,2,2013,4.1,275,NA,NA,NA
"186",186,"M","MB430S2 _13","sora",2,3,"pool2","fgca","nc",39.14505699,-90.731191,10,2,2013,4.1,275,NA,NA,NA
"187",187,"M","MB431S1 _13","sora",1,3,"pool2","fgca","nc",39.14502799,-90.731199,10,2,2013,4.1,275,NA,NA,NA
"188",188,"M","MB432S1 _13","sora",1,3,"pool2","fgca","nc",39.14487904,-90.731191,10,2,2013,4.1,275,NA,NA,NA
"189",189,"M","MB433S4 _13","sora",4,3,"pool2","fgca","nc",39.14469003,-90.731116,10,2,2013,4.1,275,NA,NA,NA
"190",190,"M","MB437S4 _13","sora",4,3,"pool2","fgca","nc",39.14428501,-90.731175,10,2,2013,4.1,275,NA,NA,NA
"191",191,"M","MB435S4 _13","sora",4,3,"pool2","fgca","nc",39.14428099,-90.731142,10,2,2013,4.1,275,NA,NA,NA
"192",192,"M","MB436S4 _13","sora",4,3,"pool2","fgca","nc",39.14427998,-90.731139,10,2,2013,4.1,275,NA,NA,NA
"193",193,"M","MB434S4 _13","sora",4,3,"pool2","fgca","nc",39.14427596,-90.731144,10,2,2013,4.1,275,NA,NA,NA
"194",194,"M","MB423V3 _13","vira",3,3,"pool2","fgca","nc",39.14213698,-90.731687,10,2,2013,4.1,275,NA,NA,NA
"195",195,"M","MB422S2 _13","sora",2,3,"pool2","fgca","nc",39.14103803,-90.731543,10,2,2013,4.1,275,NA,NA,NA
"196",196,"M","MB421S1 _13","sora",1,3,"pool2","fgca","nc",39.139594,-90.731765,10,2,2013,4.1,275,NA,NA,NA
"197",197,"M","MB420V5 _13","vira",5,3,"pool2","fgca","nc",39.13835297,-90.731747,10,2,2013,4.1,275,NA,NA,NA
"198",198,"M","MB418S2 _13","sora",2,3,"pool2","fgca","nc",39.13823504,-90.73173,10,2,2013,4.1,275,NA,NA,NA
"199",199,"M","MB435V2 _13","vira",2,3,"pool2","fgca","nc",36.70036697,-90.129367,10,2,2013,4.1,275,NA,NA,NA
"200",200,"D","DD280S5","sora",5,3,"pool2","fgca","nc",39.6937809605,-93.3089530002,9,30,2013,4.1,273,NA,NA,NA
"201",201,"D","DD282S0","sora",0,3,"pool2","fgca","nc",39.6936989855,-93.3087380044,9,30,2013,4.1,273,NA,NA,NA
